# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    4.700000000    1.326761674    1.326761712    0.001722789
    4.710000000    1.288589658    1.288589661    0.001728935
    4.720000000    1.269706078    1.269706055    0.001735103
    4.730000000    1.264109927    1.264109898    0.001741293
    4.740000000    1.260663831    1.260663813    0.001747504
    4.750000000    1.250349955    1.250349957    0.001753738
    4.760000000    1.231565772    1.231565788    0.001759994
    4.770000000    1.209641184    1.209641202    0.001766272
    4.780000000    1.191711582    1.191711590    0.001772572
    4.790000000    1.180609911    1.180609909    0.001778895
    4.800000000    1.173233012    1.173233005    0.001785241
    4.810000000    1.164286311    1.164286309    0.001791609
    4.820000000    1.151535728    1.151535733    0.001798001
    4.830000000    1.138427139    1.138427144    0.001804415
    4.840000000    1.130548705    1.130548705    0.001810853
    4.850000000    1.129374276    1.129374274    0.001817314
    4.860000000    1.131777152    1.131777154    0.001823798
    4.870000000    1.135088469    1.135088475    0.001830307
    4.880000000    1.137963528    1.137963539    0.001836839
    4.890000000    1.134541710    1.134541735    0.001843395
    4.900000000    1.113107025    1.113107077    0.001849975
    4.910000000    1.066091685    1.066091765    0.001856579
    4.920000000    0.999883881    0.999883972    0.001863207
    4.930000000    0.930853651    0.930853733    0.001869860
    4.940000000    0.874234501    0.874234561    0.001876538
    4.950000000    0.838616957    0.838616988    0.001883241
    4.960000000    0.826610500    0.826610503    0.001889968
    4.970000000    0.836520971    0.836520950    0.001896721
    4.980000000    0.862628313    0.862628277    0.001903498
    4.990000000    0.895395323    0.895395284    0.001910302
    5.000000000    0.925014582    0.925014549    0.001917130
    5.010000000    0.948201172    0.948201143    0.001923985
    5.020000000    0.970383012    0.970382978    0.001930865
    5.030000000    0.998657913    0.998657870    0.001937772
    5.040000000    1.033133975    1.033133930    0.001944704
    5.050000000    1.064719962    1.064719930    0.001951663
    5.060000000    1.079513506    1.079513507    0.001958649
    5.070000000    1.065941400    1.065941444    0.001965661
    5.080000000    1.021104825    1.021104907    0.001972700
    5.090000000    0.953185956    0.953186058    0.001979766
    5.100000000    0.877667023    0.877667125    0.001986859
    5.110000000    0.809702748    0.809702835    0.001993980
    5.120000000    0.758779101    0.758779166    0.002001128
    5.130000000    0.728240888    0.728240929    0.002008303
    5.140000000    0.717303144    0.717303163    0.002015507
    5.150000000    0.723171233    0.723171230    0.002022739
    5.160000000    0.742292424    0.742292405    0.002029998
    5.170000000    0.769701446    0.769701419    0.002037287
    5.180000000    0.797181711    0.797181688    0.002044603
    5.190000000    0.814680757    0.814680747    0.002051949
    5.200000000    0.816919953    0.816919954    0.002059323
    5.210000000    0.807895714    0.807895715    0.002066727
    5.220000000    0.796604763    0.796604754    0.002074159
    5.230000000    0.789540106    0.789540085    0.002081621
    5.240000000    0.787449237    0.787449210    0.002089113
